date,power
01/01/2017 0:00,411.7
01/01/2017 1:00,401.7
01/01/2017 2:00,367.4
01/01/2017 3:00,354.2
01/01/2017 4:00,339.4
01/01/2017 5:00,332.6
01/01/2017 6:00,306.3
01/01/2017 7:00,306.3
01/01/2017 8:00,310.4
01/01/2017 9:00,354.6
01/01/2017 10:00,377.7
01/01/2017 11:00,423.2
01/01/2017 12:00,427.1
01/01/2017 13:00,416.2
01/01/2017 14:00,422.4
01/01/2017 15:00,422.4
01/01/2017 16:00,427.1
01/01/2017 17:00,456.6
01/01/2017 18:00,476.5
01/01/2017 19:00,473.3
01/01/2017 20:00,465.1
01/01/2017 21:00,447.7
01/01/2017 22:00,430
01/01/2017 23:00,412.1
01/02/2017 0:00,365.7
01/02/2017 1:00,347.7
01/02/2017 2:00,336.2
01/02/2017 3:00,328.2
01/02/2017 4:00,324.6
01/02/2017 5:00,358.1
01/02/2017 6:00,351.2
01/02/2017 7:00,387
01/02/2017 8:00,432.1
01/02/2017 9:00,479.9
01/02/2017 10:00,498.9
01/02/2017 11:00,526
01/02/2017 12:00,527.6
01/02/2017 13:00,531.3
01/02/2017 14:00,524.6
01/02/2017 15:00,539.8
01/02/2017 16:00,533.6
01/02/2017 17:00,574.6
01/02/2017 18:00,569.8
01/02/2017 19:00,569.1
01/02/2017 20:00,565.8
01/02/2017 21:00,487.2
01/02/2017 22:00,449.4
01/02/2017 23:00,441.6
01/03/2017 0:00,416.8
01/03/2017 1:00,393.7
01/03/2017 2:00,365.5
01/03/2017 3:00,366.6
01/03/2017 4:00,381
01/03/2017 5:00,416.9
01/03/2017 6:00,450.6
01/03/2017 7:00,549
01/03/2017 8:00,645
01/03/2017 9:00,673
01/03/2017 10:00,716.6
01/03/2017 11:00,712.7
01/03/2017 12:00,711.6
01/03/2017 13:00,750.1
01/03/2017 14:00,730.7
01/03/2017 15:00,728.7
01/03/2017 16:00,712.8
01/03/2017 17:00,710.7
01/03/2017 18:00,703.8
01/03/2017 19:00,665.7
01/03/2017 20:00,628.1
01/03/2017 21:00,576.6
01/03/2017 22:00,560
01/03/2017 23:00,503.6
01/04/2017 0:00,463.3
01/04/2017 1:00,444.9
01/04/2017 2:00,413.4
01/04/2017 3:00,428
01/04/2017 4:00,424
01/04/2017 5:00,465.4
01/04/2017 6:00,480.9
01/04/2017 7:00,571.1
01/04/2017 8:00,674.8
01/04/2017 9:00,730.8
01/04/2017 10:00,807.4
01/04/2017 11:00,762.7
01/04/2017 12:00,758.7
01/04/2017 13:00,788.5
01/04/2017 14:00,785.5
01/04/2017 15:00,778.3
01/04/2017 16:00,729.8
01/04/2017 17:00,717.9
01/04/2017 18:00,708.3
01/04/2017 19:00,672.7
01/04/2017 20:00,641.4
01/04/2017 21:00,608.4
01/04/2017 22:00,558.3
01/04/2017 23:00,502.3
01/05/2017 0:00,466.4
01/05/2017 1:00,470.9
01/05/2017 2:00,444.2
01/05/2017 3:00,435.6
01/05/2017 4:00,441.9
01/05/2017 5:00,449
01/05/2017 6:00,512.3
01/05/2017 7:00,603.5
01/05/2017 8:00,694
01/05/2017 9:00,736
01/05/2017 10:00,760.3
01/05/2017 11:00,745.5
01/05/2017 12:00,722.3
01/05/2017 13:00,754
01/05/2017 14:00,757.4
01/05/2017 15:00,747.7
01/05/2017 16:00,722.8
01/05/2017 17:00,718.5
01/05/2017 18:00,696.9
01/05/2017 19:00,666.6
01/05/2017 20:00,621.2
01/05/2017 21:00,580.8
01/05/2017 22:00,557.7
01/05/2017 23:00,503
01/06/2017 0:00,498.9
01/06/2017 1:00,471.5
01/06/2017 2:00,444.7
01/06/2017 3:00,425.2
01/06/2017 4:00,447.4
01/06/2017 5:00,444.3
01/06/2017 6:00,482.2
01/06/2017 7:00,570.7
01/06/2017 8:00,654.5
01/06/2017 9:00,718.2
01/06/2017 10:00,750.2
01/06/2017 11:00,734.5
01/06/2017 12:00,730.2
01/06/2017 13:00,759.2
01/06/2017 14:00,766.9
01/06/2017 15:00,764.1
01/06/2017 16:00,724.5
01/06/2017 17:00,723.3
01/06/2017 18:00,712.7
01/06/2017 19:00,670
01/06/2017 20:00,641.1
01/06/2017 21:00,604.8
01/06/2017 22:00,542.7
01/06/2017 23:00,485.3
01/07/2017 0:00,464.3
01/07/2017 1:00,440.9
01/07/2017 2:00,433
01/07/2017 3:00,417.7
01/07/2017 4:00,423.4
01/07/2017 5:00,427.4
01/07/2017 6:00,452.7
01/07/2017 7:00,504.8
01/07/2017 8:00,577.9
01/07/2017 9:00,645
01/07/2017 10:00,680
01/07/2017 11:00,672.7
01/07/2017 12:00,668.7
01/07/2017 13:00,699.1
01/07/2017 14:00,693.1
01/07/2017 15:00,678.6
01/07/2017 16:00,657.9
01/07/2017 17:00,680.5
01/07/2017 18:00,696.8
01/07/2017 19:00,647.5
01/07/2017 20:00,607.3
01/07/2017 21:00,582.1
01/07/2017 22:00,528.5
01/07/2017 23:00,482.2
01/08/2017 0:00,457.7
01/08/2017 1:00,430.9
01/08/2017 2:00,412
01/08/2017 3:00,397.6
01/08/2017 4:00,394.9
01/08/2017 5:00,386.9
01/08/2017 6:00,386.6
01/08/2017 7:00,410.8
01/08/2017 8:00,443.1
01/08/2017 9:00,489.7
